1509974792.00000;   1.16227;  -0.46732
1509974825.35199;   2.43701;  -0.46732
1509974858.70398;   2.51200;   0.04248
1509974892.05597;   2.58698;  -0.04248
1509974925.40796;   2.43701;  -0.89216
1509974958.75995;   3.03689;  -0.12745
1509974992.11194;   3.56179;  -0.63725
1509975025.46393;   4.83653;  -1.23203
1509975058.81592;   4.46161;   0.21242
1509975092.16791;   4.16167;  -1.48693
1509975125.51990;   5.66137;  -0.80719
1509975158.87189;   5.73635;  -1.91176
1509975192.22388;   5.96131;  -1.65686
1509975225.57587;   5.58638;  -1.06209
1509975258.92786;   7.01110;  -1.65686
1509975292.27985;   7.31104;  -1.23203
1509975325.63184;   7.61098;  -1.48693
1509975358.98383;   7.16107;  -0.80719
1509975392.33582;   8.28584;  -0.89216
1509975425.68781;   8.73575;  -2.59150
1509975459.03980;   8.06089;  -1.31699
1509975492.39179;   8.36083;  -1.48693
1509975525.74378;  10.01050;  -1.48693
1509975559.09577;  10.23545;  -1.57190
1509975592.44776;   9.71056;  -1.65686
1509975625.79975;  10.46041;  -1.48693
1509975659.15174;  10.31044;  -1.65686
1509975692.50373;  10.91032;  -1.14706
1509975725.85572;  11.43521;  -1.23203
1509975759.20771;  12.18506;  -1.06209
1509975792.55970;  12.26005;  -2.16667
1509975825.91169;  13.00990;  -1.99673
1509975859.26368;  12.63497;  -3.27124
1509975892.61567;  13.00990;  -1.99673
1509975925.96766;  13.90972;  -1.57190
1509975959.31965;  13.68476;  -2.93137
1509975992.67164;  13.90972;  -2.16667
1509976026.02363;  15.10948;  -1.82680
1509976059.37562;  15.48440;  -1.74183
1509976092.72761;  15.03449;  -1.57190
1509976126.07960;  15.78434;  -1.91176
1509976159.43159;  16.15927;  -1.57190
1509976192.78358;  16.53419;  -1.40196
1509976226.13557;  17.13407;  -2.08170
1509976259.48756;  16.68416;  -2.08170
1509976292.83955;  17.13407;  -2.16667
1509976326.19154;  16.45921;  -1.99673
1509976359.54353;  18.48380;  -1.74183
1509976392.89552;  18.25885;  -2.33660
1509976426.24751;  18.70876;  -1.31699
1509976459.59950;  19.15867;  -1.57190
1509976492.95149;  19.83353;  -2.08170
1509976526.30348;  20.58338;  -2.16667
1509976559.65547;  20.58338;  -1.14706
1509976593.00746;  21.55819;  -1.31699
1509976626.35945;  21.48320;  -0.55229
1509976659.71144;  22.08308;  -0.29739
1509976693.06343;  22.15807;  -0.21242
1509976726.41542;  22.98290;  -0.55229
1509976759.76741;  22.08308;  -1.23203
1509976793.11940;  24.25765;  -0.46732
1509976826.47139;  23.43281;   1.14706
1509976859.82338;  24.40762;   0.89216
1509976893.17537;  24.63257;   0.89216
1509976926.52736;  24.48260;   0.63725
1509976959.87935;  24.78254;   1.31699
1509976993.23134;  25.98230;   1.91176
1509977026.58333;  26.20726;   2.25163
1509977059.93532;  25.75735;   1.40196
1509977093.28731;  26.73215;   1.48693
1509977126.63930;  27.40702;   1.91176
1509977159.99129;  27.18206;   2.33660
1509977193.34328;  27.25705;   3.35621
1509977226.69527;  27.55699;   3.86601
1509977260.04726;  28.00690;   3.78105
1509977293.39925;  27.48200;   3.86601
1509977326.75124;  28.23185;   4.54575
1509977360.10323;  28.68176;   5.48039
1509977393.45522;  29.20666;   5.31046
1509977426.80721;  29.13167;   5.39542
1509977460.15920;  29.43161;   5.56536
1509977493.51119;  28.98170;   5.99020
1509977526.86318;  29.95651;   6.33007
1509977560.21517;  29.65657;   7.00980
1509977593.56716;  29.95651;   7.09477
1509977626.91915;  30.55639;   7.00980
1509977660.27114;  30.48140;   7.43464
1509977693.62313;  30.48140;   7.60458
1509977726.97512;  30.70636;   7.51961
1509977760.32711;  30.33143;   8.11438
1509977793.67910;  30.55639;   8.02941
1509977827.03109;  31.68116;   9.30392
1509977860.38308;  31.83113;   9.30392
1509977893.73507;  31.68116;   9.81373
1509977927.08706;  31.23125;   9.81373
1509977960.43905;  31.83113;  10.74837
1509977993.79104;  31.90612;  10.91830
1509978027.14303;  32.50600;  12.10784
1509978060.49502;  33.18086;  11.00327
1509978093.84701;  33.03089;  12.53268
1509978127.19901;  33.40582;  12.44771
1509978160.55100;  33.55579;  12.27778
1509978193.90299;  33.70576;  12.10784
1509978227.25498;  32.95591;  13.12745
1509978260.60697;  33.70576;  14.48693
1509978293.95896;  34.23065;  14.23203
1509978327.31095;  34.30564;  14.31699
1509978360.66294;  34.08068;  15.25163
1509978394.01493;  35.65537;  14.48693
1509978427.36692;  35.58038;  15.08170
1509978460.71891;  35.13047;  16.44118
1509978494.07090;  34.90552;  16.52614
1509978527.42289;  35.50540;  16.35621
1509978560.77488;  35.50540;  16.52614
1509978594.12687;  35.50540;  17.54575
1509978627.47886;  35.50540;  17.03595
1509978660.83085;  35.43041;  17.80065
1509978694.18284;  35.80534;  18.73529
1509978727.53483;  36.25525;  18.73529
1509978760.88682;  35.73035;  19.66993
1509978794.23881;  35.95531;  19.07516
1509978827.59080;  36.25525;  19.66993
1509978860.94279;  36.78014;  21.11438
1509978894.29478;  36.70516;  21.11438
1509978927.64677;  36.48020;  22.21895
1509978960.99876;  36.63017;  22.55882
1509978994.35075;  36.63017;  22.55882
1509979027.70274;  36.40522;  22.98366
1509979061.05473;  37.30504;  22.64379
1509979094.40672;  36.85513;  23.49346
1509979127.75871;  37.08008;  24.17320
1509979161.11070;  37.30504;  23.57843
1509979194.46269;  36.78014;  24.59804
1509979227.81468;  37.60498;  24.68301
1509979261.16667;  37.75495;  25.02288
1509979294.51866;  37.52999;  26.29739
1509979327.87065;  37.45501;  25.27778
1509979361.22264;  37.52999;  26.46732
1509979394.57463;  38.50480;  26.80719
1509979427.92662;  38.80474;  26.55229
1509979461.27861;  38.05489;  27.40196
1509979494.63060;  38.42981;  27.31699
1509979527.98259;  38.35483;  27.91176
1509979561.33458;  38.05489;  27.57190
1509979594.68657;  38.72975;  29.01634
1509979628.03856;  38.65477;  29.52614
